Query,Reference,Baseline_Answer,RAG_Answer,Sim_Baseline,Sim_RAG
What is the baggage allowance for Singapore Airlines?,Economy passengers may check in up to 25 kg of baggage; Business Class up to 35 kg.,a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of,Taxis and ride-hailing services,0.076,0.101
How can I get from Changi Airport to the city center?,"Changi Airport is connected to downtown Singapore by the MRT train system, which takes around 30 minutes. Taxis and airport shuttle services are also available 24 hours a day.",0,"Changi Airport is connected to downtown Singapore by the MRT train system, which takes around 30 minutes. Taxis and airport shuttle services are also available 24 hours a day. What is the best way to get around Tokyo?",-0.041,0.777
Is tap water safe to drink in Tokyo?,"Yes, Japan’s tap water is safe to drink and meets international quality standards.",no,English,0.024,0.019
When is the best time to visit Seoul?,"Spring (April–June) and autumn (September–November) offer mild weather and colorful scenery. Winters can be very cold, while summers are hot and humid.",,Spring,-0.043,0.627
What is the best way to get around Bangkok?,"Bangkok offers multiple transport options including BTS Skytrain, MRT subway, and river ferries. Avoid rush hours if possible, as road traffic can be heavy.","You can walk by the river, or you can walk by the river.","Bangkok offers multiple transport options including BTS Skytrain, MRT subway, and river ferries",0.189,0.944
Do I need a visa to enter Thailand for tourism?,Many nationalities can enter Thailand visa-free for up to 30 days. Travelers staying longer must apply for a visa in advance or extend their stay at an immigration office.,no,a car,-0.091,-0.121
What are the best transport options in Paris?,Paris has a well-connected metro and bus system that covers all major attractions. You can buy multi-day travel passes for unlimited rides within designated zones.,a train,Spring (April–June) and autumn (September–October) have pleasant weather and fewer crowds. Summer is lively but often crowded with tourists.,0.193,0.201
When is the best time to visit Paris?,Spring (April–June) and autumn (September–October) have pleasant weather and fewer crowds. Summer is lively but often crowded with tourists.,,Spring (April–June) and autumn (September–October),0.078,0.752
Do I need a car to explore Los Angeles?,"While public buses and metro lines exist, Los Angeles is best explored by car due to its vast layout. Visitors often rent vehicles for convenience and flexibility.",no,"Los Angeles is best explored by car due to its vast layout. Visitors often rent vehicles for convenience and flexibility. Los Angeles. Transport: While Los Angeles has buses and metro lines, most visitors rent a car for flexibility. Rideshare services like Uber and Lyft are widely available across the city.",-0.024,0.906
Are there any safety tips for tourists in Los Angeles?,"LA is generally safe, but avoid isolated areas at night and keep valuables out of sight in parked cars. Follow local advisories for beach safety and traffic updates.",no,"Los Angeles is generally safe, but avoid isolated areas at night and keep valuables out of sight in parked cars. Follow local advisories for beach safety and traffic updates.",0.007,0.951
