Query,Baseline,RAG,LoRA,Sim_Baseline,Sim_RAG,Sim_LoRA
What is the baggage allowance for Singapore Airlines?,a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of,Taxis and ride-hailing services,Taxis and ride-hailing services,0.07631735503673553,0.10142432153224945,0.10142432153224945
How can I get from Changi Airport to the city center?,0,"Changi Airport is connected to downtown Singapore by the MRT train system, which takes around 30 minutes. Taxis and airport shuttle services are also available 24 hours a day.","Changi Airport is connected to downtown Singapore by the MRT train system, which takes around 30 minutes. Taxis and airport shuttle services are also available 24 hours a day. What is the best way to get around Tokyo? Tokyo’s subway and train network is punctual and efficient. Travelers can purchase a Suica or Pasmo card for easy travel on most public transport lines.",-0.040837306529283524,1.0,0.7972057461738586
Is tap water safe to drink in Tokyo?,no,English,English,0.02415127120912075,0.019244484603405,0.019244484603405
When is the best time to visit Seoul?,,Spring,Spring,-0.042986322194337845,0.6273435950279236,0.6273435950279236
What is the best way to get around Bangkok?,"You can walk by the river, or you can walk by the river.",a).,"Bangkok offers multiple transport options including BTS Skytrain, MRT subway, and river ferries",0.18933111429214478,-0.02228931337594986,0.9444079399108887
Do I need a visa to enter Thailand for tourism?,no,1).,Yes,-0.09113998711109161,-0.14271864295005798,-0.09515887498855591
What are the best transport options in Paris?,a train,Spring (April–June) and autumn (September–October) have pleasant weather and fewer crowds,Walking and cycling,0.1932213455438614,0.09299631416797638,0.18510442972183228
When is the best time to visit Paris?,,Spring (April–June) and autumn (September–October),Spring (April–June) and autumn (September–October),0.07795726507902145,0.7517750263214111,0.7517750263214111
Do I need a car to explore Los Angeles?,no,Los Angeles is best explored by car due to its vast layout,Los Angeles is best explored by car due to its vast layout,-0.024184636771678925,0.836651086807251,0.836651086807251
Are there any safety tips for tourists in Los Angeles?,no,"Los Angeles is generally safe, but avoid isolated areas at night and keep valuables out of sight in parked cars","Los Angeles is generally safe, but avoid isolated areas at night and keep valuables out of sight in parked cars. Follow local advisories for beach safety and traffic updates.",0.006655318662524223,0.8619246482849121,0.9505220055580139
